provider_id,name,category,neighborhood_zone,rating
1,"Imran Plumbing Works",plumber,Gulshan,4.7
2,"Nadeem Electric Services",electrician,Johar,4.5
3,"Karachi Quick Plumbers",plumber,Clifton,4.2
4,"PowerFix Electricians",electrician,DHA,4.8
5,"City Carpenter Hub",carpenter,Nazimabad,4.1
6,"Fresh Coat Painters",painter,"North Nazimabad",4.3
7,"Spark & Pipe Team",plumber,PECHS,4.0
8,"CleanSpace Crew",cleaner,Malir,4.4
9,"Johar Handy Plumbers",plumber,Johar,3.9
10,"Gulshan Electric Point",electrician,Gulshan,4.6
